#    L    TT             EE             BB             TE          
     2    0.48462E+00    0.15913E-04    0.25570E-04    0.35784E-03
     3    0.38885E+00    0.20119E-04    0.29171E-04   -0.35364E-03
     4    0.36399E+00    0.21109E-04    0.28337E-04   -0.57919E-03
     5    0.35390E+00    0.19142E-04    0.24630E-04   -0.62068E-03
     6    0.34943E+00    0.15537E-04    0.19698E-04   -0.57828E-03
     7    0.34786E+00    0.11581E-04    0.14814E-04   -0.50518E-03
     8    0.34774E+00    0.81939E-05    0.10725E-04   -0.43076E-03
     9    0.34854E+00    0.57853E-05    0.77156E-05   -0.36857E-03
    10    0.34989E+00    0.44003E-05    0.57730E-05   -0.31972E-03
    11    0.35127E+00    0.38574E-05    0.47303E-05   -0.28713E-03
    12    0.35217E+00    0.38997E-05    0.43723E-05   -0.26894E-03
    13    0.35282E+00    0.43138E-05    0.44952E-05   -0.26290E-03
    14    0.35361E+00    0.49223E-05    0.49179E-05   -0.26712E-03
    15    0.35467E+00    0.56372E-05    0.55293E-05   -0.27975E-03
    16    0.35601E+00    0.64033E-05    0.62466E-05   -0.29913E-03
    17    0.35726E+00    0.72065E-05    0.70277E-05   -0.32428E-03
    18    0.35808E+00    0.80437E-05    0.78459E-05   -0.35427E-03
    19    0.35846E+00    0.89149E-05    0.86924E-05   -0.38777E-03
    20    0.35847E+00    0.98204E-05    0.95639E-05   -0.42366E-03
    21    0.35821E+00    0.10760E-04    0.10458E-04   -0.46222E-03
    22    0.35772E+00    0.11732E-04    0.11374E-04   -0.50385E-03
    23    0.35703E+00    0.12734E-04    0.12309E-04   -0.54816E-03
    24    0.35614E+00    0.13761E-04    0.13263E-04   -0.59464E-03
    25    0.35506E+00    0.14810E-04    0.14232E-04   -0.64303E-03
    26    0.35381E+00    0.15880E-04    0.15214E-04   -0.69311E-03
    27    0.35241E+00    0.16965E-04    0.16210E-04   -0.74429E-03
    28    0.35085E+00    0.18063E-04    0.17220E-04   -0.79618E-03
    29    0.34914E+00    0.19184E-04    0.18244E-04   -0.84929E-03
    30    0.34727E+00    0.20340E-04    0.19281E-04   -0.90415E-03
    31    0.34527E+00    0.21529E-04    0.20330E-04   -0.96038E-03
    32    0.34314E+00    0.22742E-04    0.21390E-04   -0.10174E-02
    33    0.34090E+00    0.23971E-04    0.22460E-04   -0.10750E-02
    34    0.33851E+00    0.25207E-04    0.23538E-04   -0.11330E-02
    35    0.33600E+00    0.26454E-04    0.24621E-04   -0.11912E-02
    36    0.33339E+00    0.27719E-04    0.25707E-04   -0.12497E-02
