#    L    TT             EE             TE          
     2    0.11304E+04    0.54881E-01    0.33995E+01
     3    0.10520E+04    0.88313E-01    0.42504E+01
     4    0.97933E+03    0.97755E-01    0.43580E+01
     5    0.92336E+03    0.85339E-01    0.40268E+01
     6    0.88267E+03    0.62030E-01    0.34916E+01
     7    0.85433E+03    0.38882E-01    0.29009E+01
     8    0.83510E+03    0.22214E-01    0.23451E+01
     9    0.82287E+03    0.13102E-01    0.18702E+01
    10    0.81606E+03    0.94193E-02    0.15011E+01
    11    0.81310E+03    0.82926E-02    0.12456E+01
    12    0.81410E+03    0.77399E-02    0.11012E+01
    13    0.81728E+03    0.69109E-02    0.10435E+01
    14    0.82169E+03    0.60053E-02    0.10439E+01
    15    0.82760E+03    0.53140E-02    0.10831E+01
    16    0.83537E+03    0.50432E-02    0.11454E+01
    17    0.84492E+03    0.51886E-02    0.12159E+01
    18    0.85529E+03    0.55084E-02    0.12829E+01
    19    0.86731E+03    0.58698E-02    0.13410E+01
    20    0.87930E+03    0.62505E-02    0.13853E+01
    21    0.89161E+03    0.66954E-02    0.14218E+01
    22    0.90450E+03    0.73363E-02    0.14569E+01
    23    0.91778E+03    0.82281E-02    0.14921E+01
    24    0.93152E+03    0.93665E-02    0.15282E+01
    25    0.94564E+03    0.10761E-01    0.15671E+01
    26    0.95997E+03    0.12379E-01    0.16112E+01
    27    0.97472E+03    0.14178E-01    0.16577E+01
    28    0.98977E+03    0.16144E-01    0.17037E+01
    29    0.10052E+04    0.18288E-01    0.17474E+01
    30    0.10208E+04    0.20624E-01    0.17855E+01
    31    0.10365E+04    0.23139E-01    0.18159E+01
    32    0.10527E+04    0.25807E-01    0.18360E+01
    33    0.10692E+04    0.28638E-01    0.18434E+01
    34    0.10859E+04    0.31662E-01    0.18371E+01
    35    0.11027E+04    0.34901E-01    0.18216E+01
    36    0.11197E+04    0.38375E-01    0.17996E+01
    37    0.11367E+04    0.42077E-01    0.17672E+01
    38    0.11542E+04    0.46004E-01    0.17223E+01
    39    0.11721E+04    0.50166E-01    0.16669E+01
    40    0.11900E+04    0.54586E-01    0.16039E+01
    41    0.12083E+04    0.59283E-01    0.15353E+01
    42    0.12265E+04    0.64259E-01    0.14591E+01
    43    0.12448E+04    0.69510E-01    0.13724E+01
    44    0.12632E+04    0.75017E-01    0.12734E+01
    45    0.12819E+04    0.80771E-01    0.11602E+01
    46    0.13009E+04    0.86771E-01    0.10296E+01
    47    0.13200E+04    0.93017E-01    0.88349E+00
    48    0.13392E+04    0.99521E-01    0.72747E+00
    49    0.13586E+04    0.10627E+00    0.56663E+00
    50    0.13784E+04    0.11325E+00    0.39925E+00
    51    0.13984E+04    0.12044E+00    0.22179E+00
    52    0.14188E+04    0.12791E+00    0.29016E-01
    53    0.14391E+04    0.13581E+00   -0.18285E+00
    54    0.14594E+04    0.14413E+00   -0.40963E+00
    55    0.14799E+04    0.15284E+00   -0.64704E+00
    56    0.15007E+04    0.16179E+00   -0.89686E+00
    57    0.15217E+04    0.17088E+00   -0.11589E+01
    58    0.15431E+04    0.18012E+00   -0.14338E+01
    59    0.15646E+04    0.18955E+00   -0.17221E+01
    60    0.15863E+04    0.19922E+00   -0.20230E+01
    61    0.16085E+04    0.20924E+00   -0.23355E+01
    62    0.16305E+04    0.21959E+00   -0.26606E+01
    63    0.16526E+04    0.23023E+00   -0.29994E+01
    64    0.16752E+04    0.24116E+00   -0.33532E+01
    65    0.16977E+04    0.25235E+00   -0.37227E+01
    66    0.17206E+04    0.26375E+00   -0.41060E+01
    67    0.17437E+04    0.27535E+00   -0.45005E+01
    68    0.17672E+04    0.28719E+00   -0.49041E+01
    69    0.17909E+04    0.29923E+00   -0.53152E+01
    70    0.18149E+04    0.31151E+00   -0.57352E+01
    71    0.18390E+04    0.32403E+00   -0.61664E+01
    72    0.18633E+04    0.33675E+00   -0.66104E+01
    73    0.18877E+04    0.34964E+00   -0.70676E+01
    74    0.19123E+04    0.36270E+00   -0.75375E+01
    75    0.19373E+04    0.37593E+00   -0.80185E+01
    76    0.19625E+04    0.38932E+00   -0.85102E+01
    77    0.19881E+04    0.40289E+00   -0.90123E+01
    78    0.20140E+04    0.41664E+00   -0.95262E+01
    79    0.20401E+04    0.43053E+00   -0.10048E+02
    80    0.20665E+04    0.44455E+00   -0.10580E+02
    81    0.20930E+04    0.45866E+00   -0.11121E+02
    82    0.21198E+04    0.47289E+00   -0.11671E+02
