#    L    TT             EE             BB             TE          
     2    0.48462E+02    0.15913E-02    0.25570E-02    0.35784E-01
     3    0.38885E+02    0.20119E-02    0.29171E-02   -0.35364E-01
     4    0.36399E+02    0.21109E-02    0.28337E-02   -0.57919E-01
     5    0.35390E+02    0.19142E-02    0.24630E-02   -0.62068E-01
     6    0.34943E+02    0.15537E-02    0.19698E-02   -0.57828E-01
     7    0.34786E+02    0.11581E-02    0.14814E-02   -0.50518E-01
     8    0.34774E+02    0.81939E-03    0.10725E-02   -0.43076E-01
     9    0.34854E+02    0.57853E-03    0.77156E-03   -0.36857E-01
    10    0.34989E+02    0.44003E-03    0.57730E-03   -0.31972E-01
    11    0.35127E+02    0.38574E-03    0.47303E-03   -0.28713E-01
    12    0.35217E+02    0.38997E-03    0.43723E-03   -0.26894E-01
    13    0.35282E+02    0.43138E-03    0.44952E-03   -0.26290E-01
    14    0.35361E+02    0.49223E-03    0.49179E-03   -0.26712E-01
    15    0.35467E+02    0.56372E-03    0.55293E-03   -0.27975E-01
    16    0.35601E+02    0.64033E-03    0.62466E-03   -0.29913E-01
    17    0.35726E+02    0.72065E-03    0.70277E-03   -0.32428E-01
    18    0.35808E+02    0.80437E-03    0.78459E-03   -0.35427E-01
    19    0.35846E+02    0.89149E-03    0.86924E-03   -0.38777E-01
    20    0.35847E+02    0.98204E-03    0.95639E-03   -0.42366E-01
    21    0.35821E+02    0.10760E-02    0.10458E-02   -0.46222E-01
    22    0.35772E+02    0.11732E-02    0.11374E-02   -0.50385E-01
    23    0.35703E+02    0.12734E-02    0.12309E-02   -0.54816E-01
    24    0.35614E+02    0.13761E-02    0.13263E-02   -0.59464E-01
    25    0.35506E+02    0.14810E-02    0.14232E-02   -0.64303E-01
    26    0.35381E+02    0.15880E-02    0.15214E-02   -0.69311E-01
    27    0.35241E+02    0.16965E-02    0.16210E-02   -0.74429E-01
    28    0.35085E+02    0.18063E-02    0.17220E-02   -0.79618E-01
    29    0.34914E+02    0.19184E-02    0.18244E-02   -0.84929E-01
    30    0.34727E+02    0.20340E-02    0.19281E-02   -0.90415E-01
