#    L    TT             EE             BB             TE          
     2    0.11788E+04    0.56472E-01    0.25570E-02    0.34353E+01
     3    0.10909E+04    0.90325E-01    0.29171E-02    0.42150E+01
     4    0.10157E+04    0.99866E-01    0.28337E-02    0.43001E+01
     5    0.95875E+03    0.87253E-01    0.24630E-02    0.39647E+01
     6    0.91761E+03    0.63584E-01    0.19698E-02    0.34337E+01
     7    0.88911E+03    0.40040E-01    0.14814E-02    0.28504E+01
     8    0.86988E+03    0.23034E-01    0.10725E-02    0.23020E+01
     9    0.85773E+03    0.13681E-01    0.77156E-03    0.18334E+01
    10    0.85105E+03    0.98593E-02    0.57730E-03    0.14691E+01
    11    0.84823E+03    0.86783E-02    0.47303E-03    0.12169E+01
    12    0.84932E+03    0.81299E-02    0.43723E-03    0.10743E+01
    13    0.85256E+03    0.73423E-02    0.44952E-03    0.10173E+01
    14    0.85705E+03    0.64975E-02    0.49179E-03    0.10172E+01
    15    0.86307E+03    0.58777E-02    0.55293E-03    0.10551E+01
    16    0.87097E+03    0.56835E-02    0.62466E-03    0.11155E+01
    17    0.88064E+03    0.59092E-02    0.70277E-03    0.11835E+01
    18    0.89110E+03    0.63128E-02    0.78459E-03    0.12475E+01
    19    0.90316E+03    0.67613E-02    0.86924E-03    0.13022E+01
    20    0.91515E+03    0.72325E-02    0.95639E-03    0.13429E+01
    21    0.92743E+03    0.77713E-02    0.10458E-02    0.13756E+01
    22    0.94027E+03    0.85096E-02    0.11374E-02    0.14065E+01
    23    0.95349E+03    0.95015E-02    0.12309E-02    0.14373E+01
    24    0.96713E+03    0.10743E-01    0.13263E-02    0.14688E+01
    25    0.98115E+03    0.12242E-01    0.14232E-02    0.15028E+01
    26    0.99535E+03    0.13967E-01    0.15214E-02    0.15419E+01
    27    0.10100E+04    0.15875E-01    0.16210E-02    0.15833E+01
    28    0.10249E+04    0.17951E-01    0.17220E-02    0.16241E+01
    29    0.10401E+04    0.20206E-01    0.18244E-02    0.16625E+01
